Source	Target
1	4867
1	4868
1	4869
1	24
1	4870
2	4871
2	4872
2	4873
2	4874
2	4875
2	4876
3	4877
3	3174
3	502
3	4878
3	4879
4	1241
4	4880
4	4881
4	2489
4	4882
5	4883
5	4884
5	916
5	4885
6	4886
6	4887
6	4888
6	4889
7	4890
7	4891
7	4892
8	4893
8	4894
8	4895
9	4896
9	4897
9	4898
10	2577
10	4899
10	4900
11	4901
11	4902
11	4903
12	4904
12	4905
12	4906
13	4907
13	4908
13	4909
14	239
14	4910
14	4911
15	4912
15	4913
15	4914
16	4915
16	4916
16	4917
17	4918
17	4919
17	176
18	4920
18	4921
18	4922
19	4923
19	3354
19	4924
20	28
20	4925
20	4926
21	4927
21	4715
21	4928
22	4929
22	4930
22	4931
23	4932
23	4933
23	4934
24	1
24	792
24	4870
25	4935
25	4936
25	4937
26	4938
26	4939
27	4940
27	4941
28	4925
28	20
29	4942
29	4943
30	4944
30	100
31	4945
31	4946
32	2796
32	4947
33	3176
33	4948
34	4949
34	4950
35	4951
35	4952
36	4953
36	4954
37	3335
37	4955
38	4956
38	4957
39	149
39	4958
40	4959
40	3296
41	197
41	4960
42	4961
42	4962
43	4963
43	4964
44	4965
44	4966
45	4967
45	4968
46	4969
46	4970
47	4971
47	387
48	4972
48	3999
49	1027
49	912
50	4973
50	4974
51	4975
51	4976
52	4977
52	4978
53	4979
53	2642
54	4980
54	4981
55	4982
55	1541
56	4983
56	4984
57	4985
57	4986
58	4987
58	4988
59	4989
60	4990
61	2966
62	4991
63	4992
64	4993
65	95
66	4994
67	4995
68	4996
69	137
70	863
71	4997
72	4998
73	3234
74	4999
75	3137
76	3853
77	3210
78	5000
79	5001
80	2970
81	5002
82	5003
83	5004
84	4299
85	1420
86	5005
87	5006
88	3911
89	5007
90	802
91	5008
92	5009
93	2773
94	5010
95	65
96	5011
97	5012
98	5013
99	5014
100	30
101	4149
102	5015
103	5016
104	5017
105	4053
106	5018
107	5019
108	5020
109	5021
110	5022
111	5023
112	518
113	5024
114	5025
115	5026
116	173
117	5027
118	5028
119	5029
120	5030
121	5031
122	5032
123	5033
124	914
125	5034
126	3878
127	5035
128	5036
129	5037
130	218
131	5038
132	5039
133	5040
