node	revenueYear
1	303.31
2	3514.9
3	480.3
4	641.6
5	696.050000000001
6	464.489999999999
7	144.15
8	1097.27
9	1237.65
10	255.85
11	723.440000000001
12	752.749999999999
13	479.7
14	567.180000000002
15	518.250000000001
16	1013.18
17	389.75
18	1500.53
19	3748.33
20	1553.97
21	376.38
22	547.91
23	582.900000000001
24	100.75
25	325.25
26	1562.12
27	466.17
28	459.87
29	314.1
30	643.8
31	1572.40000000001
32	391.360000000001
33	778.67
34	646.95
35	197.25
36	430.25
37	281.9
38	1118.2
39	563.84
40	830.720000000001
41	306.27
42	569.390000000001
43	624.38
44	395.98
45	622.94
46	195.2
47	625.31
48	1764.13
49	1320.1
50	646.059999999999
51	341.1
52	597.61
53	206.7
54	901.230000000003
55	808.469999999999
56	773.320000000002
57	1709.85
58	459.23
59	978.820000000002
60	552.400000000002
61	637.000000000001
62	158.81
63	562.749999999998
64	178.2
65	895.700000000002
66	1029.1
67	190.3
68	1426.16000000001
69	495.41
70	379.25
71	306.32
72	512.45
73	389.45
74	572.81
75	317.8
76	687.25
77	75.52
78	470.340000000001
79	255.34
80	728.939999999999
81	988.600000000006
82	438.199999999999
83	727.420000000004
84	671.59
85	657.03
86	649.599999999998
87	582.890000000001
88	923.88
89	876.82
90	348.25
91	351.58
92	349.35
93	163.4
94	1079.36
95	1011.04
96	991.92
97	506.15
98	186
99	275.8
100	310.4
101	435.51
102	711.7
103	1496.56
104	611.309999999999
105	280.4
106	563.13
107	1896.6
108	1058.89
109	274.1
110	561.26
111	1281.95
112	997.260000000001
113	754.670000000001
114	42.3
115	173.25
116	173.32
117	768.600000000001
118	693.32
119	360.78
120	1109.65
121	233.44
122	768.51
123	640.15
124	601.6
125	1506.58
126	419.98
127	464.4
128	95.48
129	646.5
130	154.77
131	353.89
132	290.9
133	124.61
134	1017.59
135	645.189999999999
136	698.589999999998
137	755.64
138	146.55
139	437.5
140	676.15
141	467.9
142	389.639999999999
143	2745.46
144	133.85
145	402.71
146	633.3
147	180.51
148	1237.62
149	370.33
150	391.01
151	2200.64
152	266.22
153	2515.22
154	448.51
155	254.75
156	1116.91
157	42.3
158	270.46
159	268.7
160	718.5
161	627.300000000001
162	942.250000000001
163	62.73
164	331.189999999999
165	548.059999999999
166	980.000000000003
167	867.67
168	267.72
169	951.650000000001
170	365.89
171	1040.24
172	1207.9
173	545.3
174	1315.46
175	191.2
176	1245.2
177	444.2
178	850.250000000001
179	1051.89
180	438.31
181	604.200000000001
182	1501.14
183	3503.64000000003
184	718.740000000003
185	1590.39000000001
186	1281.69
187	2032.4
188	1050.9
189	1180.9
190	565
191	1190.82
192	423.04
193	170.25
194	939.300000000001
195	1256.68
196	768.89
197	377.549999999999
198	534.36
199	1643.23
200	136.35
201	877.060000000003
202	2711.63
203	906.470000000003
204	926.260000000002
205	843.3
206	415.13
207	3122.64999999999
208	290.5
209	646.26
210	308.15
211	389.6
212	1324.37
213	944.43
214	966.010000000002
215	250.4
216	271.55
217	155.4
218	996.989999999998
219	407.8
220	445.269999999999
221	829.75
222	460.15
223	382.07
224	649.85
225	845.35
226	785.799999999999
